Zone_Performance_ID,Year,Zone,Passengers,Passenger_KM,Passenger_Revenue,Freight_Revenue,Total_Revenue,Revenue_Per_Passenger
25,2020,NWR,11045678,5129123101,1324721762,26648000000,27972721762,2532.458556369288
26,2020,SCR,35571224,22731492647,3571387789,13254000000,16825387789,473.0055898273279
27,2020,SECR,13312721,6422514580,835910736,5077000000,5912910736,444.1549354185369
28,2020,SER,24863676,3391175131,1947063040,18804000000,20751063040,834.5935267174492
29,2020,SWR,14551621,6558256053,839197405,5681000000,6520197405,448.0736135857304
30,2020,SR,31347223,17254290028,3225805453,14767000000,17992805453,573.9840321102765
31,2020,WCR,13594104,5133675976,652441443,17921000000,18573441443,1366.286549153957
32,2020,WR,31176329,13760895999,1729716702,18049000000,19778716702,634.4145489996594
33,2021,CR,20754033,4069379895,2226071773,24163000000,26389071773,1271.515361520337
34,2021,ER,45812157,29541006200,3808108503,26073000000,29881108503,652.2528180238272
35,2021,ECR,13099236,7435438405,1132429142,22749000000,23881429142,1823.116183417109
36,2021,ECoR,9174578,1377322445,1119206408,29484000000,30603206408,3335.652757870716
37,2021,NR,29577825,18452143783,2932133888,17312000000,20244133888,684.4361912344806
38,2021,NCR,42932123,11805269265,2044522711,13147000000,15191522711,353.8497900744391
39,2021,NER,32796188,7834341398,2483889152,15752000000,18235889152,556.0368525756713
40,2021,NFR,32678225,11375808676,4032370164,26210000000,30242370164,925.4593896700326
41,2021,NWR,31186792,10154354702,3585524734,13728000000,17313524734,555.1556804560084
42,2021,SCR,17982037,11312321127,1865483718,10552000000,12417483718,690.5493364294601
43,2021,SECR,32130139,15484828181,1680401045,23507000000,25187401045,783.9182097842777
44,2021,SER,21383161,4066538153,2643819143,11223000000,13866819143,648.4924816775218
45,2021,SWR,18682461,5310557584,2102452514,5790000000,7892452514,422.4525084784066
46,2021,SR,25505226,8406091755,2646017897,7963000000,10609017897,415.9546712897192
47,2021,WCR,30990269,9125988018,2868148532,10834000000,13702148532,442.1435816513887
48,2021,WR,31981142,8505851870,3558467945,23955000000,27513467945,860.3028605107347
49,2022,CR,20082245,2517294423,1093764402,23583000000,24676764402,1228.785148373601
50,2022,ER,11112722,4004232597,749604585,8041000000,8790604585,791.0397277102766
51,2022,ECR,41375594,25248126179,2510877588,25975000000,28485877588,688.4705410634105
52,2022,ECoR,32338212,7992431339,3046459732,6217000000,9263459732,286.4555322972092
53,2022,NR,41553408,23468970566,2067814293,22267000000,24334814293,585.6274001160145
54,2022,NCR,42581698,27264397932,4088291734,6060000000,10148291734,238.3252009818866
55,2022,NER,41177350,10576422208,4483628194,14840000000,19323628194,469.2780908436313
56,2022,NFR,41150184,11750062312,5108033805,25655000000,30763033805,747.5794957563252
57,2022,NWR,43803391,23833542922,2729685105,22124000000,24853685105,567.3918054654719
58,2022,SCR,22052977,10560110012,2434253795,18781000000,21215253795,962.0131465697352
59,2022,SECR,25857050,15652728735,2775365381,26807000000,29582365381,1144.07348792689
60,2022,SER,37868644,24569206428,3927580325,7180000000,11107580325,293.318670850744
61,2022,SWR,35745708,5040501447,3774397493,27534000000,31308397493,875.8645231757614
62,2022,SR,41737136,22216228560,3497341126,26205000000,29702341126,711.6525946102291
63,2022,WCR,18920978,9927008234,1390912978,27735000000,29125912978,1539.345005210619
64,2022,WR,19846795,6279468868,2440640877,12777000000,15217640877,766.7555833070277
65,2023,CR,26298109,4669737733,2361988615,24208000000,26569988615,1010.338371287456
66,2023,ER,21537316,9447751223,2491396992,15395000000,17886396992,830.4840302292077
67,2023,ECR,34251646,5214799390,3531243518,8377000000,11908243518,347.6692337063159
68,2023,ECoR,22868918,14579393075,2324599418,22259000000,24583599418,1074.978685830261
69,2023,NR,26105361,12356574903,2586125869,11389000000,13975125869,535.3354764563493
70,2023,NCR,48050658,16376623305,3507394466,18172000000,21679394466,451.1778895098585
71,2023,NER,36380030,20049217845,2533030369,23687000000,26220030369,720.7259138873717
72,2023,NFR,15330501,4316846088,1678386064,12568000000,14246386064,929.283789486071
73,2023,NWR,22965903,4107958065,1563475710,28305000000,29868475710,1300.557426807907
74,2023,SCR,38766020,15012577765,1794410149,25156000000,26950410149,695.2070434106984
75,2023,SECR,46753346,12583176174,4560732986,5778000000,10338732986,221.1335416720763
76,2023,SER,48616763,21845198873,3858981694,22812000000,26670981694,548.5964109539749
77,2023,SWR,27989172,11564578704,3249877716,27866000000,31115877716,1111.71126162646
78,2023,SR,31324263,19607191000,1720544027,19866000000,21586544027,689.131745158697
79,2023,WCR,20655141,7098394057,1378995689,27917000000,29295995689,1418.339177108498
80,2023,WR,33692618,14963491234,3640351354,7555000000,11195351354,332.2790575074932
81,2024,CR,12398778,7504864797,655551758,13116000000,13771551758,1110.718472255895
82,2024,ER,42946927,7949030701,4465978808,18800000000,23265978808,541.7379177793093
83,2024,ECR,39499463,16912209480,2203158957,16388000000,18591158957,470.6686507864677
84,2024,ECoR,13604218,8496164405,1453681307,9517000000,10970681307,806.4176351040537
85,2024,NR,27827452,12925528551,1836266794,21486000000,23322266794,838.1028487265022
86,2024,NCR,22376483,5804739828,2570559615,18873000000,21443559615,958.3078634385932
87,2024,NER,13793336,4726276069,1440468784,19321000000,20761468784,1505.181109486494
88,2024,NFR,14021374,2012177931,1372895982,15289000000,16661895982,1188.321200333148
89,2024,NWR,10810169,5087544566,575371102,7612000000,8187371102,757.3767905016101
90,2024,SCR,10673248,3839517662,1260480111,15977000000,17237480111,1615.017294735398
91,2024,SECR,31078009,15383183837,3454681046,15023000000,18477681046,594.558069855762
92,2024,SER,18976467,8554942773,1314245770,20776000000,22090245770,1164.086327028103
93,2024,SWR,22884913,5997588198,1612530219,22062000000,23674530219,1034.503833114856
94,2024,SR,14509837,3598353943,1170745138,9020000000,10190745138,702.3335367585453
95,2024,WCR,33571649,9679590429,2322000256,24306000000,26628000256,793.1692677949778
96,2024,WR,48830743,23601511322,2412724376,21334000000,23746724376,486.3068410816522
