Station_Code,Station_ID,Station_Name,City,State,Zone_Code,Division,Station_Category
SE02,82,Bilaspur Junction 2,Bilaspur,Chhattisgarh,SECR,South,A1
SE03,83,Bilaspur Junction 3,Bilaspur,Chhattisgarh,SECR,South,A
SE04,84,Bilaspur Junction 4,Bilaspur,Chhattisgarh,SECR,South,A
SE05,85,Bilaspur Junction 5,Bilaspur,Chhattisgarh,SECR,South,A
SE06,86,Bilaspur Junction 6,Bilaspur,Chhattisgarh,SECR,South,A
SE07,87,Bilaspur Junction 7,Bilaspur,Chhattisgarh,SECR,South,A
SE08,88,Bilaspur Junction 8,Bilaspur,Chhattisgarh,SECR,South,A
SW01,97,Hubballi Junction 1,Hubballi,Karnataka,SWR,South,A1
SW02,98,Hubballi Junction 2,Hubballi,Karnataka,SWR,South,A1
SW03,99,Hubballi Junction 3,Hubballi,Karnataka,SWR,South,A
SW04,100,Hubballi Junction 4,Hubballi,Karnataka,SWR,South,A
SW05,101,Hubballi Junction 5,Hubballi,Karnataka,SWR,South,A
SW06,102,Hubballi Junction 6,Hubballi,Karnataka,SWR,South,A
SW07,103,Hubballi Junction 7,Hubballi,Karnataka,SWR,South,A
SW08,104,Hubballi Junction 8,Hubballi,Karnataka,SWR,South,A
SR01,105,Chennai Junction 1,Chennai,Tamil Nadu,SR,Southern,A1
SR02,106,Chennai Junction 2,Chennai,Tamil Nadu,SR,Southern,A1
SR03,107,Chennai Junction 3,Chennai,Tamil Nadu,SR,Southern,A
SR04,108,Chennai Junction 4,Chennai,Tamil Nadu,SR,Southern,A
SR05,109,Chennai Junction 5,Chennai,Tamil Nadu,SR,Southern,A
SR06,110,Chennai Junction 6,Chennai,Tamil Nadu,SR,Southern,A
SR07,111,Chennai Junction 7,Chennai,Tamil Nadu,SR,Southern,A
SR08,112,Chennai Junction 8,Chennai,Tamil Nadu,SR,Southern,A
WC01,113,Jabalpur Junction 1,Jabalpur,Madhya Pradesh,WCR,West,A1
WC02,114,Jabalpur Junction 2,Jabalpur,Madhya Pradesh,WCR,West,A1
WC03,115,Jabalpur Junction 3,Jabalpur,Madhya Pradesh,WCR,West,A
WC04,116,Jabalpur Junction 4,Jabalpur,Madhya Pradesh,WCR,West,A
WC05,117,Jabalpur Junction 5,Jabalpur,Madhya Pradesh,WCR,West,A
WC06,118,Jabalpur Junction 6,Jabalpur,Madhya Pradesh,WCR,West,A
WC07,119,Jabalpur Junction 7,Jabalpur,Madhya Pradesh,WCR,West,A
WC08,120,Jabalpur Junction 8,Jabalpur,Madhya Pradesh,WCR,West,A
WR01,121,Mumbai Junction 1,Mumbai,Maharashtra,WR,Western,A1
WR02,122,Mumbai Junction 2,Mumbai,Maharashtra,WR,Western,A1
WR03,123,Mumbai Junction 3,Mumbai,Maharashtra,WR,Western,A
WR04,124,Mumbai Junction 4,Mumbai,Maharashtra,WR,Western,A
WR05,125,Mumbai Junction 5,Mumbai,Maharashtra,WR,Western,A
WR06,126,Mumbai Junction 6,Mumbai,Maharashtra,WR,Western,A
WR07,127,Mumbai Junction 7,Mumbai,Maharashtra,WR,Western,A
WR08,128,Mumbai Junction 8,Mumbai,Maharashtra,WR,Western,A
