Schedule_ID,Train_ID,Train_Number,Station_Code,Station_Name,Arrival_Time,Departure_Time,Halt_Minutes,Day_Number,Distance_From_Source,Sequence_Number
109,109,12109,WC05,Jabalpur Junction 5,12:48,12:57,8,4,1073,19
110,110,12110,WR04,Mumbai Junction 4,15:59,15:14,9,5,1175,20
111,111,12111,CR03,Mumbai Junction 3,18:10,18:25,4,6,211,21
112,112,12112,ER02,Kolkata Junction 2,21:21,21:29,6,7,446,22
113,113,12113,EC01,Hajipur Junction 1,00:32,00:35,14,1,1351,23
114,114,12114,EC08,Hajipur Junction 8,03:43,03:54,3,2,750,24
115,115,12115,EC07,Bhubaneswar Junction 7,06:54,06:04,9,3,1528,25
116,116,12116,NR06,New Delhi Junction 6,09:05,09:16,7,4,1722,26
117,117,12117,NC05,Prayagraj Junction 5,12:16,12:21,3,5,2009,27
118,118,12118,NE04,Gorakhpur Junction 4,15:27,15:29,5,6,251,28
119,119,12119,NF03,Guwahati Junction 3,18:38,18:43,7,7,285,29
120,120,12120,NW02,Jaipur Junction 2,21:49,21:57,14,1,300,30
121,121,12121,SC01,Secunderabad Junction 1,00:00,00:14,7,2,1303,1
122,122,12122,SC08,Secunderabad Junction 8,03:11,03:19,6,3,239,2
123,123,12123,SE07,Bilaspur Junction 7,06:22,06:32,14,4,1145,3
124,124,12124,SE06,Kolkata Junction 6,09:33,09:43,11,5,854,4
125,125,12125,SW05,Hubballi Junction 5,12:44,12:47,9,6,1911,5
126,126,12126,SR04,Chennai Junction 4,15:55,15:01,14,7,1879,6
127,127,12127,WC03,Jabalpur Junction 3,18:06,18:11,10,1,1644,7
128,128,12128,WR02,Mumbai Junction 2,21:17,21:25,11,2,2003,8
129,129,12129,CR01,Mumbai Junction 1,00:28,00:38,13,3,1762,9
130,130,12130,CR08,Mumbai Junction 8,03:39,03:52,13,4,496,10
131,131,12131,ER07,Kolkata Junction 7,06:50,06:52,4,5,549,11
132,132,12132,EC06,Hajipur Junction 6,09:01,09:12,9,6,1031,12
133,133,12133,EC05,Bhubaneswar Junction 5,12:12,12:14,11,7,801,13
134,134,12134,NR04,New Delhi Junction 4,15:23,15:35,3,1,649,14
135,135,12135,NC03,Prayagraj Junction 3,18:34,18:36,5,2,2031,15
136,136,12136,NE02,Gorakhpur Junction 2,21:45,21:53,8,3,601,16
137,137,12137,NF01,Guwahati Junction 1,00:56,00:01,11,4,2167,17
138,138,12138,NF08,Guwahati Junction 8,03:07,03:19,12,5,1038,18
139,139,12139,NW07,Jaipur Junction 7,06:18,06:21,12,6,1779,19
140,140,12140,SC06,Secunderabad Junction 6,09:29,09:38,3,7,1568,20
141,141,12141,SE05,Bilaspur Junction 5,12:40,12:54,5,1,350,21
142,142,12142,SE04,Kolkata Junction 4,15:51,15:03,6,2,1573,22
143,143,12143,SW03,Hubballi Junction 3,18:02,18:13,5,3,92,23
144,144,12144,SR02,Chennai Junction 2,21:13,21:22,7,4,1881,24
145,145,12145,WC01,Jabalpur Junction 1,00:24,00:31,5,5,1892,25
146,146,12146,WC08,Jabalpur Junction 8,03:35,03:47,10,6,2098,26
147,147,12147,WR07,Mumbai Junction 7,06:46,06:58,14,7,1757,27
148,148,12148,CR06,Mumbai Junction 6,09:57,09:04,2,1,1335,28
149,149,12149,ER05,Kolkata Junction 5,12:08,12:20,15,2,1499,29
150,150,12150,EC04,Hajipur Junction 4,15:19,15:28,10,3,253,30
151,151,12151,EC03,Bhubaneswar Junction 3,18:30,18:32,2,4,1990,1
152,152,12152,NR02,New Delhi Junction 2,21:41,21:54,5,5,931,2
153,153,12153,NC01,Prayagraj Junction 1,00:52,00:00,5,6,929,3
154,154,12154,NC08,Prayagraj Junction 8,03:03,03:09,11,7,1666,4
155,155,12155,NE07,Gorakhpur Junction 7,06:14,06:17,8,1,2180,5
156,156,12156,NF06,Guwahati Junction 6,09:25,09:39,13,2,1616,6
157,157,12157,NW05,Jaipur Junction 5,12:36,12:38,15,3,1617,7
158,158,12158,SC04,Secunderabad Junction 4,15:47,15:01,14,4,560,8
159,159,12159,SE03,Bilaspur Junction 3,18:58,18:00,11,5,1009,9
160,160,12160,SE02,Kolkata Junction 2,21:09,21:11,5,6,2180,10
161,161,12161,SW01,Hubballi Junction 1,00:20,00:27,5,7,1440,11
162,162,12162,SW08,Hubballi Junction 8,03:31,03:42,6,1,1868,12
163,163,12163,SR07,Chennai Junction 7,06:42,06:52,4,2,714,13
164,164,12164,WC06,Jabalpur Junction 6,09:53,09:06,3,3,26,14
165,165,12165,WR05,Mumbai Junction 5,12:04,12:15,8,4,556,15
166,166,12166,CR04,Mumbai Junction 4,15:15,15:23,4,5,822,16
167,167,12167,ER03,Kolkata Junction 3,18:26,18:31,10,6,1481,17
168,168,12168,EC02,Hajipur Junction 2,21:37,21:51,2,7,719,18
169,169,12169,EC01,Bhubaneswar Junction 1,00:48,00:53,10,1,1172,19
170,170,12170,EC08,Bhubaneswar Junction 8,03:59,03:13,14,2,1700,20
171,171,12171,NR07,New Delhi Junction 7,06:10,06:14,2,3,1978,21
172,172,12172,NC06,Prayagraj Junction 6,09:21,09:36,5,4,102,22
173,173,12173,NE05,Gorakhpur Junction 5,12:32,12:43,10,5,1955,23
174,174,12174,NF04,Guwahati Junction 4,15:43,15:53,12,6,1730,24
175,175,12175,NW03,Jaipur Junction 3,18:54,18:56,4,7,1716,25
176,176,12176,SC02,Secunderabad Junction 2,21:05,21:09,4,1,1654,26
177,177,12177,SE01,Bilaspur Junction 1,00:16,00:20,4,2,29,27
178,178,12178,SE08,Bilaspur Junction 8,03:27,03:35,10,3,1609,28
179,179,12179,SE07,Kolkata Junction 7,06:38,06:52,11,4,1664,29
180,180,12180,SW06,Hubballi Junction 6,09:49,09:53,6,5,668,30
181,181,12181,SR05,Chennai Junction 5,12:00,12:02,15,6,530,1
182,182,12182,WC04,Jabalpur Junction 4,15:11,15:19,6,7,97,2
183,183,12183,WR03,Mumbai Junction 3,18:22,18:36,5,1,220,3
184,184,12184,CR02,Mumbai Junction 2,21:33,21:39,4,2,2198,4
185,185,12185,ER01,Kolkata Junction 1,00:44,00:48,6,3,596,5
186,186,12186,ER08,Kolkata Junction 8,03:55,03:57,2,4,1128,6
187,187,12187,EC07,Hajipur Junction 7,06:06,06:11,3,5,641,7
188,188,12188,EC06,Bhubaneswar Junction 6,09:17,09:22,7,6,2183,8
189,189,12189,NR05,New Delhi Junction 5,12:28,12:34,11,7,1690,9
190,190,12190,NC04,Prayagraj Junction 4,15:39,15:41,9,1,987,10
191,191,12191,NE03,Gorakhpur Junction 3,18:50,18:59,4,2,1023,11
192,192,12192,NF02,Guwahati Junction 2,21:01,21:04,15,3,1291,12
193,193,12193,NW01,Jaipur Junction 1,00:12,00:14,9,4,2037,13
194,194,12194,NW08,Jaipur Junction 8,03:23,03:35,5,5,1963,14
195,195,12195,SC07,Secunderabad Junction 7,06:34,06:38,5,6,340,15
196,196,12196,SE06,Bilaspur Junction 6,09:45,09:59,12,7,1139,16
197,197,12197,SE05,Kolkata Junction 5,12:56,12:07,5,1,155,17
198,198,12198,SW04,Hubballi Junction 4,15:07,15:20,15,2,78,18
199,199,12199,SR03,Chennai Junction 3,18:18,18:20,9,3,94,19
200,200,12200,WC02,Jabalpur Junction 2,21:29,21:41,15,4,615,20
201,201,12201,WR01,Mumbai Junction 1,00:40,00:46,14,5,783,21
202,202,12202,WR08,Mumbai Junction 8,03:51,03:56,3,6,1847,22
203,203,12203,CR07,Mumbai Junction 7,06:02,06:16,3,7,1766,23
204,204,12204,ER06,Kolkata Junction 6,09:13,09:17,3,1,838,24
205,205,12205,EC05,Hajipur Junction 5,12:24,12:32,13,2,1539,25
206,206,12206,EC04,Bhubaneswar Junction 4,15:35,15:39,10,3,1925,26
207,207,12207,NR03,New Delhi Junction 3,18:46,18:57,5,4,283,27
208,208,12208,NC02,Prayagraj Junction 2,21:57,21:05,8,5,776,28
209,209,12209,NE01,Gorakhpur Junction 1,00:08,00:11,3,6,1163,29
210,210,12210,NE08,Gorakhpur Junction 8,03:19,03:34,10,7,963,30
211,211,12211,NF07,Guwahati Junction 7,06:30,06:45,11,1,1579,1
212,212,12212,NW06,Jaipur Junction 6,09:41,09:51,12,2,1103,2
213,213,12213,SC05,Secunderabad Junction 5,12:52,12:02,10,3,1655,3
214,214,12214,SE04,Bilaspur Junction 4,15:03,15:17,6,4,1538,4
215,215,12215,SE03,Kolkata Junction 3,18:14,18:16,9,5,1977,5
216,216,12216,SW02,Hubballi Junction 2,21:25,21:36,5,6,1334,6
217,217,12217,SR01,Chennai Junction 1,00:36,00:43,8,7,501,7
218,218,12218,SR08,Chennai Junction 8,03:47,03:57,4,1,975,8
219,219,12219,WC07,Jabalpur Junction 7,06:58,06:13,12,2,911,9
220,220,12220,WR06,Mumbai Junction 6,09:09,09:24,2,3,2111,10
221,221,12221,CR05,Mumbai Junction 5,12:20,12:26,13,4,2084,11
222,222,12222,ER04,Kolkata Junction 4,15:31,15:41,10,5,1648,12
223,223,12223,EC03,Hajipur Junction 3,18:42,18:47,4,6,756,13
224,224,12224,EC02,Bhubaneswar Junction 2,21:53,21:01,12,7,566,14
225,225,12225,NR01,New Delhi Junction 1,00:04,00:13,2,1,68,15
226,226,12226,NR08,New Delhi Junction 8,03:15,03:30,13,2,1900,16
227,227,12227,NC07,Prayagraj Junction 7,06:26,06:32,9,3,1484,17
228,228,12228,NE06,Gorakhpur Junction 6,09:37,09:42,12,4,1524,18
229,229,12229,NF05,Guwahati Junction 5,12:48,12:55,8,5,676,19
230,230,12230,NW04,Jaipur Junction 4,15:59,15:12,15,6,2198,20
231,231,12231,SC03,Secunderabad Junction 3,18:10,18:22,6,7,1718,21
232,232,12232,SE02,Bilaspur Junction 2,21:21,21:26,14,1,588,22
233,233,12233,SE01,Kolkata Junction 1,00:32,00:39,3,2,178,23
234,234,12234,SE08,Kolkata Junction 8,03:43,03:50,9,3,38,24
235,235,12235,SW07,Hubballi Junction 7,06:54,06:07,3,4,2196,25
236,236,12236,SR06,Chennai Junction 6,09:05,09:10,7,5,351,26
237,237,12237,WC05,Jabalpur Junction 5,12:16,12:29,12,6,172,27
238,238,12238,WR04,Mumbai Junction 4,15:27,15:30,10,7,1905,28
239,239,12239,CR03,Mumbai Junction 3,18:38,18:41,5,1,1199,29
240,240,12240,ER02,Kolkata Junction 2,21:49,21:52,6,2,22,30
241,241,12241,EC01,Hajipur Junction 1,00:00,00:08,12,3,906,1
242,242,12242,EC08,Hajipur Junction 8,03:11,03:16,7,4,1120,2
243,243,12243,EC07,Bhubaneswar Junction 7,06:22,06:26,3,5,399,3
244,244,12244,NR06,New Delhi Junction 6,09:33,09:48,12,6,275,4
245,245,12245,NC05,Prayagraj Junction 5,12:44,12:50,7,7,398,5
246,246,12246,NE04,Gorakhpur Junction 4,15:55,15:08,15,1,538,6
247,247,12247,NF03,Guwahati Junction 3,18:06,18:08,5,2,1281,7
248,248,12248,NW02,Jaipur Junction 2,21:17,21:30,6,3,601,8
249,249,12249,SC01,Secunderabad Junction 1,00:28,00:33,2,4,30,9
250,250,12250,SC08,Secunderabad Junction 8,03:39,03:46,10,5,27,10
251,251,12251,SE07,Bilaspur Junction 7,06:50,06:54,14,6,2178,11
252,252,12252,SE06,Kolkata Junction 6,09:01,09:11,9,7,1282,12
253,253,12253,SW05,Hubballi Junction 5,12:12,12:19,4,1,827,13
254,254,12254,SR04,Chennai Junction 4,15:23,15:34,11,2,1489,14
255,255,12255,WC03,Jabalpur Junction 3,18:34,18:44,2,3,1378,15
256,256,12256,WR02,Mumbai Junction 2,21:45,21:59,11,4,1274,16
257,257,12257,CR01,Mumbai Junction 1,00:56,00:01,13,5,993,17
258,258,12258,CR08,Mumbai Junction 8,03:07,03:12,8,6,268,18
259,259,12259,ER07,Kolkata Junction 7,06:18,06:32,11,7,718,19
260,260,12260,EC06,Hajipur Junction 6,09:29,09:42,2,1,849,20
261,261,12261,EC05,Bhubaneswar Junction 5,12:40,12:51,2,2,1559,21
262,262,12262,NR04,New Delhi Junction 4,15:51,15:04,10,3,453,22
263,263,12263,NC03,Prayagraj Junction 3,18:02,18:14,6,4,1618,23
264,264,12264,NE02,Gorakhpur Junction 2,21:13,21:23,3,5,219,24
265,265,12265,NF01,Guwahati Junction 1,00:24,00:26,3,6,659,25
266,266,12266,NF08,Guwahati Junction 8,03:35,03:37,15,7,2016,26
267,267,12267,NW07,Jaipur Junction 7,06:46,06:50,6,1,1632,27
268,268,12268,SC06,Secunderabad Junction 6,09:57,09:08,10,2,2176,28
269,269,12269,SE05,Bilaspur Junction 5,12:08,12:18,11,3,1104,29
270,270,12270,SE04,Kolkata Junction 4,15:19,15:28,6,4,1146,30
271,271,12271,SW03,Hubballi Junction 3,18:30,18:44,7,5,293,1
272,272,12272,SR02,Chennai Junction 2,21:41,21:51,12,6,2109,2
273,273,12273,WC01,Jabalpur Junction 1,00:52,00:01,13,7,551,3
274,274,12274,WC08,Jabalpur Junction 8,03:03,03:10,7,1,731,4
275,275,12275,WR07,Mumbai Junction 7,06:14,06:26,14,2,718,5
276,276,12276,CR06,Mumbai Junction 6,09:25,09:28,13,3,1869,6
277,277,12277,ER05,Kolkata Junction 5,12:36,12:51,5,4,1581,7
278,278,12278,EC04,Hajipur Junction 4,15:47,15:59,13,5,1773,8
279,279,12279,EC03,Bhubaneswar Junction 3,18:58,18:13,8,6,167,9
280,280,12280,NR02,New Delhi Junction 2,21:09,21:13,14,7,1858,10
281,281,12281,NC01,Prayagraj Junction 1,00:20,00:22,7,1,539,11
282,282,12282,NC08,Prayagraj Junction 8,03:31,03:37,10,2,1122,12
283,283,12283,NE07,Gorakhpur Junction 7,06:42,06:50,8,3,1411,13
284,284,12284,NF06,Guwahati Junction 6,09:53,09:04,2,4,301,14
285,285,12285,NW05,Jaipur Junction 5,12:04,12:10,8,5,2191,15
286,286,12286,SC04,Secunderabad Junction 4,15:15,15:29,11,6,79,16
287,287,12287,SE03,Bilaspur Junction 3,18:26,18:29,8,7,1291,17
288,288,12288,SE02,Kolkata Junction 2,21:37,21:48,3,1,1952,18
289,289,12289,SW01,Hubballi Junction 1,00:48,00:56,10,2,86,19
290,290,12290,SW08,Hubballi Junction 8,03:59,03:12,9,3,489,20
291,291,12291,SR07,Chennai Junction 7,06:10,06:16,6,4,59,21
292,292,12292,WC06,Jabalpur Junction 6,09:21,09:36,13,5,1949,22
293,293,12293,WR05,Mumbai Junction 5,12:32,12:38,9,6,1008,23
294,294,12294,CR04,Mumbai Junction 4,15:43,15:51,10,7,992,24
295,295,12295,ER03,Kolkata Junction 3,18:54,18:06,2,1,423,25
296,296,12296,EC02,Hajipur Junction 2,21:05,21:19,14,2,1799,26
297,297,12297,EC01,Bhubaneswar Junction 1,00:16,00:23,8,3,55,27
298,298,12298,EC08,Bhubaneswar Junction 8,03:27,03:32,12,4,754,28
299,299,12299,NR07,New Delhi Junction 7,06:38,06:46,3,5,1092,29
300,300,12300,NC06,Prayagraj Junction 6,09:49,09:01,10,6,1224,30
301,301,12301,NE05,Gorakhpur Junction 5,12:00,12:14,5,7,658,1
302,302,12302,NF04,Guwahati Junction 4,15:11,15:21,8,1,2154,2
303,303,12303,NW03,Jaipur Junction 3,18:22,18:24,3,2,752,3
304,304,12304,SC02,Secunderabad Junction 2,21:33,21:41,14,3,1087,4
305,305,12305,SE01,Bilaspur Junction 1,00:44,00:52,4,4,955,5
306,306,12306,SE08,Bilaspur Junction 8,03:55,03:04,10,5,1333,6
307,307,12307,SE07,Kolkata Junction 7,06:06,06:14,4,6,336,7
308,308,12308,SW06,Hubballi Junction 6,09:17,09:21,10,7,1883,8
309,309,12309,SR05,Chennai Junction 5,12:28,12:42,6,1,175,9
310,310,12310,WC04,Jabalpur Junction 4,15:39,15:49,2,2,1378,10
311,311,12311,WR03,Mumbai Junction 3,18:50,18:57,13,3,1375,11
312,312,12312,CR02,Mumbai Junction 2,21:01,21:13,7,4,1849,12
313,313,12313,ER01,Kolkata Junction 1,00:12,00:21,10,5,793,13
314,314,12314,ER08,Kolkata Junction 8,03:23,03:31,13,6,865,14
315,315,12315,EC07,Hajipur Junction 7,06:34,06:36,7,7,862,15
316,316,12316,EC06,Bhubaneswar Junction 6,09:45,09:52,2,1,284,16
317,317,12317,NR05,New Delhi Junction 5,12:56,12:02,7,2,63,17
318,318,12318,NC04,Prayagraj Junction 4,15:07,15:14,6,3,76,18
319,319,12319,NE03,Gorakhpur Junction 3,18:18,18:23,5,4,315,19
320,320,12320,NF02,Guwahati Junction 2,21:29,21:41,3,5,1271,20
321,321,12321,NW01,Jaipur Junction 1,00:40,00:51,13,6,1200,21
322,322,12322,NW08,Jaipur Junction 8,03:51,03:00,12,7,1878,22
323,323,12323,SC07,Secunderabad Junction 7,06:02,06:06,13,1,1017,23
324,324,12324,SE06,Bilaspur Junction 6,09:13,09:16,10,2,2149,24
325,325,12325,SE05,Kolkata Junction 5,12:24,12:27,2,3,2016,25
326,326,12326,SW04,Hubballi Junction 4,15:35,15:45,5,4,1743,26
327,327,12327,SR03,Chennai Junction 3,18:46,18:53,6,5,637,27
328,328,12328,WC02,Jabalpur Junction 2,21:57,21:07,3,6,796,28
329,329,12329,WR01,Mumbai Junction 1,00:08,00:14,2,7,1678,29
330,330,12330,WR08,Mumbai Junction 8,03:19,03:21,15,1,208,30
331,331,12331,CR07,Mumbai Junction 7,06:30,06:37,3,2,807,1
332,332,12332,ER06,Kolkata Junction 6,09:41,09:51,3,3,1156,2
333,333,12333,EC05,Hajipur Junction 5,12:52,12:04,8,4,247,3
334,334,12334,EC04,Bhubaneswar Junction 4,15:03,15:14,4,5,37,4
335,335,12335,NR03,New Delhi Junction 3,18:14,18:22,5,6,62,5
336,336,12336,NC02,Prayagraj Junction 2,21:25,21:37,10,7,2001,6
337,337,12337,NE01,Gorakhpur Junction 1,00:36,00:44,8,1,1853,7
338,338,12338,NE08,Gorakhpur Junction 8,03:47,03:50,7,2,1757,8
339,339,12339,NF07,Guwahati Junction 7,06:58,06:04,14,3,624,9
340,340,12340,NW06,Jaipur Junction 6,09:09,09:16,14,4,535,10
341,341,12341,SC05,Secunderabad Junction 5,12:20,12:35,2,5,584,11
342,342,12342,SE04,Bilaspur Junction 4,15:31,15:41,10,6,2001,12
343,343,12343,SE03,Kolkata Junction 3,18:42,18:57,11,7,1451,13
344,344,12344,SW02,Hubballi Junction 2,21:53,21:59,13,1,1414,14
345,345,12345,SR01,Chennai Junction 1,00:04,00:06,13,2,791,15
346,346,12346,SR08,Chennai Junction 8,03:15,03:23,8,3,1803,16
347,347,12347,WC07,Jabalpur Junction 7,06:26,06:31,7,4,86,17
348,348,12348,WR06,Mumbai Junction 6,09:37,09:43,3,5,1282,18
349,349,12349,CR05,Mumbai Junction 5,12:48,12:02,8,6,2006,19
350,350,12350,ER04,Kolkata Junction 4,15:59,15:14,2,7,1136,20
351,351,12351,EC03,Hajipur Junction 3,18:10,18:19,7,1,1827,21
352,352,12352,EC02,Bhubaneswar Junction 2,21:21,21:28,2,2,1205,22
353,353,12353,NR01,New Delhi Junction 1,00:32,00:36,6,3,1104,23
354,354,12354,NR08,New Delhi Junction 8,03:43,03:55,5,4,837,24
