Route_ID,Train_ID,Source_Station,Destination_Station,Distance_KM,Zone,Route_Type,Number_of_Stations
67,67,NW07,SC04,1348,ECR,Intercity,12
68,68,SC02,SC07,1955,ECoR,Intercity,9
69,69,SC05,SE02,1552,NR,Intercity,8
70,70,SC08,SE05,673,NCR,Intercity,10
71,71,SE03,SE08,1316,NER,Intercity,16
72,72,SE06,SE03,2382,NFR,Intercity,15
73,73,SE01,SE06,2041,NWR,Intercity,15
74,74,SE04,SW01,1283,SCR,Intercity,13
75,75,SE07,SW04,858,SECR,Intercity,16
76,76,SW02,SW07,299,SER,Regional,21
77,77,SW05,SR02,92,SWR,Regional,6
78,78,SW08,SR05,364,SR,Regional,28
79,79,SR03,SR08,1812,WCR,Intercity,12
80,80,SR06,WC03,2108,WR,Intercity,8
81,81,WC01,WC06,2395,CR,Intercity,9
82,82,WC04,WR01,1241,ER,Intercity,19
83,83,WC07,WR04,484,ECR,Regional,18
84,84,WR02,WR07,1652,ECoR,Intercity,7
85,85,WR05,CR02,2231,NR,Intercity,17
86,86,WR08,CR05,543,NCR,Intercity,10
87,87,CR03,CR08,275,NER,Regional,28
88,88,CR06,ER03,367,NFR,Regional,13
89,89,ER01,ER06,2337,NWR,Intercity,30
90,90,ER04,EC01,1617,SCR,Intercity,20
91,91,ER07,EC04,2307,SECR,Intercity,30
92,92,EC02,EC07,1368,SER,Intercity,19
93,93,EC05,EC02,1758,SWR,Intercity,8
94,94,EC08,EC05,2321,SR,Intercity,21
95,95,EC03,EC08,1792,WCR,Intercity,17
96,96,EC06,NR03,1900,WR,Intercity,26
97,97,NR01,NR06,748,CR,Intercity,15
98,98,NR04,NC01,619,ER,Intercity,9
99,99,NR07,NC04,2245,ECR,Intercity,7
100,100,NC02,NC07,1037,ECoR,Intercity,24
101,101,NC05,NE02,343,NR,Regional,11
102,102,NC08,NE05,1133,NCR,Intercity,22
103,103,NE03,NE08,2387,NER,Intercity,8
104,104,NE06,NF03,324,NFR,Regional,7
105,105,NF01,NF06,910,NWR,Intercity,23
106,106,NF04,NW01,799,SCR,Intercity,13
107,107,NF07,NW04,1468,SECR,Intercity,19
108,108,NW02,NW07,436,SER,Regional,5
109,109,NW05,SC02,1724,SWR,Intercity,9
110,110,NW08,SC05,203,SR,Regional,7
111,111,SC03,SC08,1943,WCR,Intercity,12
112,112,SC06,SE03,1250,WR,Intercity,12
113,113,SE01,SE06,1324,CR,Intercity,14
114,114,SE04,SE01,629,ER,Intercity,11
115,115,SE07,SE04,2281,ECR,Intercity,16
116,116,SE02,SE07,946,ECoR,Intercity,28
117,117,SE05,SW02,296,NR,Regional,7
118,118,SE08,SW05,2225,NCR,Intercity,28
119,119,SW03,SW08,1937,NER,Intercity,15
120,120,SW06,SR03,1940,NFR,Intercity,20
121,121,SR01,SR06,1509,NWR,Intercity,22
122,122,SR04,WC01,1323,SCR,Intercity,24
123,123,SR07,WC04,2014,SECR,Intercity,29
124,124,WC02,WC07,1563,SER,Intercity,30
125,125,WC05,WR02,1085,SWR,Intercity,7
126,126,WC08,WR05,619,SR,Intercity,15
127,127,WR03,WR08,1789,WCR,Intercity,19
128,128,WR06,CR03,1670,WR,Intercity,18
129,129,CR01,CR06,1636,CR,Intercity,30
130,130,CR04,ER01,841,ER,Intercity,21
131,131,CR07,ER04,1215,ECR,Intercity,15
132,132,ER02,ER07,1315,ECoR,Intercity,28
133,133,ER05,EC02,489,NR,Regional,24
134,134,ER08,EC05,1691,NCR,Intercity,25
135,135,EC03,EC08,2289,NER,Intercity,21
136,136,EC06,EC03,1763,NFR,Intercity,6
137,137,EC01,EC06,1758,NWR,Intercity,30
138,138,EC04,NR01,1938,SCR,Intercity,23
139,139,EC07,NR04,2392,SECR,Intercity,8
140,140,NR02,NR07,667,SER,Intercity,11
141,141,NR05,NC02,1287,SWR,Intercity,13
142,142,NR08,NC05,1390,SR,Intercity,11
143,143,NC03,NC08,1655,WCR,Intercity,21
144,144,NC06,NE03,1934,WR,Intercity,19
145,145,NE01,NE06,402,CR,Regional,10
146,146,NE04,NF01,351,ER,Regional,23
147,147,NE07,NF04,1770,ECR,Intercity,12
148,148,NF02,NF07,1637,ECoR,Intercity,9
149,149,NF05,NW02,1975,NR,Intercity,29
150,150,NF08,NW05,924,NCR,Intercity,13
151,151,NW03,NW08,2310,NER,Intercity,11
152,152,NW06,SC03,1095,NFR,Intercity,23
153,153,SC01,SC06,488,NWR,Regional,24
154,154,SC04,SE01,1890,SCR,Intercity,8
155,155,SC07,SE04,1592,SECR,Intercity,6
156,156,SE02,SE07,2286,SER,Intercity,27
157,157,SE05,SE02,2116,SWR,Intercity,18
158,158,SE08,SE05,1444,SR,Intercity,16
159,159,SE03,SE08,301,WCR,Regional,15
160,160,SE06,SW03,765,WR,Intercity,20
161,161,SW01,SW06,108,CR,Regional,22
162,162,SW04,SR01,1892,ER,Intercity,7
163,163,SW07,SR04,182,ECR,Regional,11
164,164,SR02,SR07,2021,ECoR,Intercity,29
165,165,SR05,WC02,135,NR,Regional,9
166,166,SR08,WC05,289,NCR,Regional,28
167,167,WC03,WC08,650,NER,Intercity,15
168,168,WC06,WR03,1882,NFR,Intercity,9
169,169,WR01,WR06,750,NWR,Intercity,20
170,170,WR04,CR01,92,SCR,Regional,22
171,171,WR07,CR04,2353,SECR,Intercity,14
172,172,CR02,CR07,2050,SER,Intercity,25
173,173,CR05,ER02,2326,SWR,Intercity,6
174,174,CR08,ER05,1699,SR,Intercity,8
175,175,ER03,ER08,1138,WCR,Intercity,21
176,176,ER06,EC03,1250,WR,Intercity,20
177,177,EC01,EC06,279,CR,Regional,23
178,178,EC04,EC01,1784,ER,Intercity,27
179,179,EC07,EC04,311,ECR,Regional,29
180,180,EC02,EC07,1498,ECoR,Intercity,18
181,181,EC05,NR02,90,NR,Regional,18
182,182,EC08,NR05,1726,NCR,Intercity,29
183,183,NR03,NR08,1866,NER,Intercity,29
184,184,NR06,NC03,1143,NFR,Intercity,6
185,185,NC01,NC06,2104,NWR,Intercity,18
186,186,NC04,NE01,2274,SCR,Intercity,28
187,187,NC07,NE04,1327,SECR,Intercity,6
188,188,NE02,NE07,2262,SER,Intercity,30
189,189,NE05,NF02,1682,SWR,Intercity,24
190,190,NE08,NF05,356,SR,Regional,9
191,191,NF03,NF08,296,WCR,Regional,21
192,192,NF06,NW03,1497,WR,Intercity,16
193,193,NW01,NW06,435,CR,Regional,13
194,194,NW04,SC01,1444,ER,Intercity,21
195,195,NW07,SC04,772,ECR,Intercity,24
196,196,SC02,SC07,603,ECoR,Intercity,28
197,197,SC05,SE02,1448,NR,Intercity,15
198,198,SC08,SE05,1593,NCR,Intercity,9
199,199,SE03,SE08,875,NER,Intercity,27
200,200,SE06,SE03,1532,NFR,Intercity,13
201,201,SE01,SE06,1955,NWR,Intercity,24
202,202,SE04,SW01,2216,SCR,Intercity,25
203,203,SE07,SW04,703,SECR,Intercity,6
204,204,SW02,SW07,2022,SER,Intercity,15
205,205,SW05,SR02,209,SWR,Regional,7
206,206,SW08,SR05,208,SR,Regional,20
207,207,SR03,SR08,1211,WCR,Intercity,25
208,208,SR06,WC03,1803,WR,Intercity,19
209,209,WC01,WC06,1718,CR,Intercity,13
210,210,WC04,WR01,436,ER,Regional,30
211,211,WC07,WR04,1259,ECR,Intercity,7
212,212,WR02,WR07,2389,ECoR,Intercity,8
213,213,WR05,CR02,1867,NR,Intercity,14
214,214,WR08,CR05,979,NCR,Intercity,29
215,215,CR03,CR08,1645,NER,Intercity,28
216,216,CR06,ER03,459,NFR,Regional,19
217,217,ER01,ER06,2215,NWR,Intercity,29
218,218,ER04,EC01,2026,SCR,Intercity,28
219,219,ER07,EC04,1246,SECR,Intercity,20
220,220,EC02,EC07,265,SER,Regional,8
221,221,EC05,EC02,1192,SWR,Intercity,28
222,222,EC08,EC05,499,SR,Regional,21
223,223,EC03,EC08,1546,WCR,Intercity,8
224,224,EC06,NR03,1217,WR,Intercity,26
225,225,NR01,NR06,112,CR,Regional,15
226,226,NR04,NC01,2037,ER,Intercity,25
227,227,NR07,NC04,1023,ECR,Intercity,11
228,228,NC02,NC07,214,ECoR,Regional,5
229,229,NC05,NE02,2124,NR,Intercity,16
230,230,NC08,NE05,1199,NCR,Intercity,16
231,231,NE03,NE08,938,NER,Intercity,27
232,232,NE06,NF03,1442,NFR,Intercity,7
233,233,NF01,NF06,1432,NWR,Intercity,28
234,234,NF04,NW01,323,SCR,Regional,8
235,235,NF07,NW04,1539,SECR,Intercity,29
236,236,NW02,NW07,866,SER,Intercity,23
237,237,NW05,SC02,1490,SWR,Intercity,14
238,238,NW08,SC05,793,SR,Intercity,29
239,239,SC03,SC08,1044,WCR,Intercity,14
240,240,SC06,SE03,1550,WR,Intercity,21
241,241,SE01,SE06,2119,CR,Intercity,5
242,242,SE04,SE01,2175,ER,Intercity,7
243,243,SE07,SE04,1526,ECR,Intercity,14
244,244,SE02,SE07,344,ECoR,Regional,11
245,245,SE05,SW02,1587,NR,Intercity,10
246,246,SE08,SW05,2329,NCR,Intercity,14
247,247,SW03,SW08,1985,NER,Intercity,20
248,248,SW06,SR03,883,NFR,Intercity,8
249,249,SR01,SR06,1258,NWR,Intercity,24
250,250,SR04,WC01,2366,SCR,Intercity,27
251,251,SR07,WC04,641,SECR,Intercity,26
252,252,WC02,WC07,276,SER,Regional,10
253,253,WC05,WR02,697,SWR,Intercity,27
254,254,WC08,WR05,165,SR,Regional,8
255,255,WR03,WR08,936,WCR,Intercity,7
256,256,WR06,CR03,1734,WR,Intercity,23
257,257,CR01,CR06,1796,CR,Intercity,24
258,258,CR04,ER01,193,ER,Regional,8
259,259,CR07,ER04,622,ECR,Intercity,15
260,260,ER02,ER07,1273,ECoR,Intercity,15
261,261,ER05,EC02,1842,NR,Intercity,23
262,262,ER08,EC05,1638,NCR,Intercity,18
263,263,EC03,EC08,1296,NER,Intercity,20
264,264,EC06,EC03,773,NFR,Intercity,7
265,265,EC01,EC06,345,NWR,Regional,30
266,266,EC04,NR01,515,SCR,Intercity,19
267,267,EC07,NR04,1123,SECR,Intercity,22
268,268,NR02,NR07,2397,SER,Intercity,17
269,269,NR05,NC02,1319,SWR,Intercity,11
270,270,NR08,NC05,2394,SR,Intercity,22
271,271,NC03,NC08,219,WCR,Regional,12
272,272,NC06,NE03,1232,WR,Intercity,10
273,273,NE01,NE06,271,CR,Regional,19
274,274,NE04,NF01,120,ER,Regional,14
275,275,NE07,NF04,2123,ECR,Intercity,28
276,276,NF02,NF07,2305,ECoR,Intercity,22
277,277,NF05,NW02,2354,NR,Intercity,14
278,278,NF08,NW05,625,NCR,Intercity,5
279,279,NW03,NW08,789,NER,Intercity,13
280,280,NW06,SC03,1450,NFR,Intercity,8
281,281,SC01,SC06,2062,NWR,Intercity,10
282,282,SC04,SE01,440,SCR,Regional,12
283,283,SC07,SE04,220,SECR,Regional,21
284,284,SE02,SE07,1898,SER,Intercity,7
285,285,SE05,SE02,2283,SWR,Intercity,9
286,286,SE08,SE05,1969,SR,Intercity,6
287,287,SE03,SE08,1171,WCR,Intercity,28
288,288,SE06,SW03,316,WR,Regional,30
289,289,SW01,SW06,1888,CR,Intercity,12
290,290,SW04,SR01,163,ER,Regional,16
291,291,SW07,SR04,761,ECR,Intercity,12
292,292,SR02,SR07,232,ECoR,Regional,18
293,293,SR05,WC02,1913,NR,Intercity,19
294,294,SR08,WC05,338,NCR,Regional,11
295,295,WC03,WC08,2162,NER,Intercity,21
296,296,WC06,WR03,780,NFR,Intercity,5
297,297,WR01,WR06,431,NWR,Regional,21
298,298,WR04,CR01,2081,SCR,Intercity,24
299,299,WR07,CR04,717,SECR,Intercity,6
300,300,CR02,CR07,1080,SER,Intercity,23
301,301,CR05,ER02,1308,SWR,Intercity,24
302,302,CR08,ER05,642,SR,Intercity,30
303,303,ER03,ER08,853,WCR,Intercity,25
304,304,ER06,EC03,2238,WR,Intercity,5
305,305,EC01,EC06,2084,CR,Intercity,7
306,306,EC04,EC01,189,ER,Regional,8
307,307,EC07,EC04,288,ECR,Regional,20
308,308,EC02,EC07,152,ECoR,Regional,23
309,309,EC05,NR02,1183,NR,Intercity,22
310,310,EC08,NR05,1449,NCR,Intercity,13
311,311,NR03,NR08,731,NER,Intercity,10
312,312,NR06,NC03,457,NFR,Regional,6
313,313,NC01,NC06,755,NWR,Intercity,14
314,314,NC04,NE01,1134,SCR,Intercity,12
315,315,NC07,NE04,264,SECR,Regional,12
316,316,NE02,NE07,818,SER,Intercity,7
317,317,NE05,NF02,767,SWR,Intercity,12
318,318,NE08,NF05,816,SR,Intercity,26
319,319,NF03,NF08,1787,WCR,Intercity,11
320,320,NF06,NW03,463,WR,Regional,27
321,321,NW01,NW06,779,CR,Intercity,7
322,322,NW04,SC01,2144,ER,Intercity,21
323,323,NW07,SC04,1881,ECR,Intercity,7
324,324,SC02,SC07,481,ECoR,Regional,15
325,325,SC05,SE02,694,NR,Intercity,29
326,326,SC08,SE05,2383,NCR,Intercity,24
327,327,SE03,SE08,1408,NER,Intercity,18
328,328,SE06,SE03,1323,NFR,Intercity,21
329,329,SE01,SE06,1754,NWR,Intercity,22
330,330,SE04,SW01,763,SCR,Intercity,25
331,331,SE07,SW04,520,SECR,Intercity,20
332,332,SW02,SW07,616,SER,Intercity,18
333,333,SW05,SR02,1517,SWR,Intercity,6
334,334,SW08,SR05,999,SR,Intercity,29
335,335,SR03,SR08,1850,WCR,Intercity,19
336,336,SR06,WC03,2361,WR,Intercity,12
337,337,WC01,WC06,2266,CR,Intercity,8
338,338,WC04,WR01,1286,ER,Intercity,20
339,339,WC07,WR04,1871,ECR,Intercity,25
340,340,WR02,WR07,1663,ECoR,Intercity,26
341,341,WR05,CR02,695,NR,Intercity,28
342,342,WR08,CR05,2072,NCR,Intercity,28
343,343,CR03,CR08,874,NER,Intercity,21
344,344,CR06,ER03,2117,NFR,Intercity,29
345,345,ER01,ER06,285,NWR,Regional,6
346,346,ER04,EC01,1896,SCR,Intercity,15
347,347,ER07,EC04,1886,SECR,Intercity,17
348,348,EC02,EC07,1931,SER,Intercity,23
349,349,EC05,EC02,1079,SWR,Intercity,12
350,350,EC08,EC05,2351,SR,Intercity,12
351,351,EC03,EC08,2240,WCR,Intercity,28
352,352,EC06,NR03,820,WR,Intercity,21
353,353,NR01,NR06,972,CR,Intercity,21
354,354,NR04,NC01,2250,ER,Intercity,9
355,355,NR07,NC04,864,ECR,Intercity,18
356,356,NC02,NC07,384,ECoR,Regional,15
357,357,NC05,NE02,188,NR,Regional,21
358,358,NC08,NE05,645,NCR,Intercity,28
359,359,NE03,NE08,1435,NER,Intercity,12
360,360,NE06,NF03,548,NFR,Intercity,26
361,361,NF01,NF06,212,NWR,Regional,21
362,362,NF04,NW01,184,SCR,Regional,17
363,363,NF07,NW04,647,SECR,Intercity,29
364,364,NW02,NW07,336,SER,Regional,8
365,365,NW05,SC02,805,SWR,Intercity,22
366,366,NW08,SC05,2171,SR,Intercity,15
367,367,SC03,SC08,903,WCR,Intercity,22
368,368,SC06,SE03,399,WR,Regional,8
369,369,SE01,SE06,1066,CR,Intercity,24
370,370,SE04,SE01,1510,ER,Intercity,6
371,371,SE07,SE04,269,ECR,Regional,14
372,372,SE02,SE07,2056,ECoR,Intercity,28
373,373,SE05,SW02,1796,NR,Intercity,21
374,374,SE08,SW05,1019,NCR,Intercity,17
375,375,SW03,SW08,180,NER,Regional,13
376,376,SW06,SR03,359,NFR,Regional,7
377,377,SR01,SR06,972,NWR,Intercity,7
378,378,SR04,WC01,496,SCR,Regional,23
379,379,SR07,WC04,509,SECR,Intercity,12
380,380,WC02,WC07,2055,SER,Intercity,6
381,381,WC05,WR02,1320,SWR,Intercity,16
382,382,WC08,WR05,647,SR,Intercity,15
383,383,WR03,WR08,252,WCR,Regional,29
384,384,WR06,CR03,1280,WR,Intercity,10
385,385,CR01,CR06,992,CR,Intercity,11
386,386,CR04,ER01,385,ER,Regional,9
387,387,CR07,ER04,287,ECR,Regional,9
388,388,ER02,ER07,459,ECoR,Regional,18
389,389,ER05,EC02,461,NR,Regional,10
390,390,ER08,EC05,355,NCR,Regional,23
391,391,EC03,EC08,2203,NER,Intercity,26
392,392,EC06,EC03,1009,NFR,Intercity,17
393,393,EC01,EC06,2028,NWR,Intercity,11
394,394,EC04,NR01,1800,SCR,Intercity,26
395,395,EC07,NR04,2002,SECR,Intercity,30
396,396,NR02,NR07,196,SER,Regional,28
397,397,NR05,NC02,1605,SWR,Intercity,28
398,398,NR08,NC05,1921,SR,Intercity,25
399,399,NC03,NC08,1311,WCR,Intercity,24
400,400,NC06,NE03,85,WR,Regional,29
401,401,NE01,NE06,2117,CR,Intercity,13
402,402,NE04,NF01,379,ER,Regional,29
403,403,NE07,NF04,1232,ECR,Intercity,5
404,404,NF02,NF07,820,ECoR,Intercity,26
405,405,NF05,NW02,782,NR,Intercity,13
406,406,NF08,NW05,1176,NCR,Intercity,12
407,407,NW03,NW08,1369,NER,Intercity,22
408,408,NW06,SC03,2042,NFR,Intercity,9
409,409,SC01,SC06,752,NWR,Intercity,30
410,410,SC04,SE01,2380,SCR,Intercity,23
411,411,SC07,SE04,479,SECR,Regional,5
412,412,SE02,SE07,929,SER,Intercity,26
413,413,SE05,SE02,2154,SWR,Intercity,7
414,414,SE08,SE05,1260,SR,Intercity,26
415,415,SE03,SE08,519,WCR,Intercity,26
416,416,SE06,SW03,1026,WR,Intercity,21
417,417,SW01,SW06,1999,CR,Intercity,20
418,418,SW04,SR01,1600,ER,Intercity,26
419,419,SW07,SR04,2138,ECR,Intercity,27
420,420,SR02,SR07,1885,ECoR,Intercity,23
421,421,SR05,WC02,2198,NR,Intercity,9
422,422,SR08,WC05,718,NCR,Intercity,22
423,423,WC03,WC08,732,NER,Intercity,10
424,424,WC06,WR03,549,NFR,Intercity,6
425,425,WR01,WR06,1864,NWR,Intercity,8
426,426,WR04,CR01,671,SCR,Intercity,16
427,427,WR07,CR04,1745,SECR,Intercity,30
428,428,CR02,CR07,1670,SER,Intercity,5
429,429,CR05,ER02,1705,SWR,Intercity,6
430,430,CR08,ER05,1109,SR,Intercity,7
431,431,ER03,ER08,841,WCR,Intercity,9
432,432,ER06,EC03,1216,WR,Intercity,19
433,433,EC01,EC06,1957,CR,Intercity,26
434,434,EC04,EC01,2223,ER,Intercity,6
435,435,EC07,EC04,128,ECR,Regional,25
436,436,EC02,EC07,1849,ECoR,Intercity,28
437,437,EC05,NR02,1703,NR,Intercity,7
438,438,EC08,NR05,751,NCR,Intercity,16
439,439,NR03,NR08,921,NER,Intercity,26
440,440,NR06,NC03,1973,NFR,Intercity,23
441,441,NC01,NC06,929,NWR,Intercity,9
442,442,NC04,NE01,1930,SCR,Intercity,8
443,443,NC07,NE04,1703,SECR,Intercity,16
444,444,NE02,NE07,984,SER,Intercity,27
445,445,NE05,NF02,2274,SWR,Intercity,29
446,446,NE08,NF05,1517,SR,Intercity,17
447,447,NF03,NF08,1547,WCR,Intercity,18
448,448,NF06,NW03,1914,WR,Intercity,19
449,449,NW01,NW06,598,CR,Intercity,17
450,450,NW04,SC01,2011,ER,Intercity,21
451,451,NW07,SC04,1254,ECR,Intercity,12
452,452,SC02,SC07,1671,ECoR,Intercity,19
453,453,SC05,SE02,135,NR,Regional,20
454,454,SC08,SE05,300,NCR,Regional,19
455,455,SE03,SE08,823,NER,Intercity,30
456,456,SE06,SE03,1065,NFR,Intercity,24
457,457,SE01,SE06,1850,NWR,Intercity,24
458,458,SE04,SW01,2010,SCR,Intercity,25
459,459,SE07,SW04,995,SECR,Intercity,18
460,460,SW02,SW07,1939,SER,Intercity,12
461,461,SW05,SR02,700,SWR,Intercity,18
462,462,SW08,SR05,302,SR,Regional,28
463,463,SR03,SR08,730,WCR,Intercity,27
464,464,SR06,WC03,81,WR,Regional,14
465,465,WC01,WC06,309,CR,Regional,17
466,466,WC04,WR01,1989,ER,Intercity,12
467,467,WC07,WR04,231,ECR,Regional,5
468,468,WR02,WR07,1330,ECoR,Intercity,13
469,469,WR05,CR02,1062,NR,Intercity,7
470,470,WR08,CR05,677,NCR,Intercity,14
471,471,CR03,CR08,1329,NER,Intercity,6
472,472,CR06,ER03,933,NFR,Intercity,13
473,473,ER01,ER06,1584,NWR,Intercity,23
474,474,ER04,EC01,279,SCR,Regional,26
475,475,ER07,EC04,181,SECR,Regional,28
476,476,EC02,EC07,2377,SER,Intercity,19
477,477,EC05,EC02,496,SWR,Regional,19
478,478,EC08,EC05,2110,SR,Intercity,30
479,479,EC03,EC08,1134,WCR,Intercity,19
480,480,EC06,NR03,1602,WR,Intercity,7
481,481,NR01,NR06,94,CR,Regional,29
482,482,NR04,NC01,2002,ER,Intercity,20
483,483,NR07,NC04,1310,ECR,Intercity,22
484,484,NC02,NC07,1207,ECoR,Intercity,7
485,485,NC05,NE02,679,NR,Intercity,17
486,486,NC08,NE05,1382,NCR,Intercity,16
487,487,NE03,NE08,386,NER,Regional,26
488,488,NE06,NF03,1388,NFR,Intercity,14
489,489,NF01,NF06,920,NWR,Intercity,13
490,490,NF04,NW01,2155,SCR,Intercity,22
491,491,NF07,NW04,2028,SECR,Intercity,5
492,492,NW02,NW07,1184,SER,Intercity,24
493,493,NW05,SC02,868,SWR,Intercity,5
494,494,NW08,SC05,533,SR,Intercity,11
495,495,SC03,SC08,2150,WCR,Intercity,17
496,496,SC06,SE03,1060,WR,Intercity,10
497,497,SE01,SE06,1591,CR,Intercity,5
498,498,SE04,SE01,916,ER,Intercity,15
499,499,SE07,SE04,874,ECR,Intercity,23
500,500,SE02,SE07,556,ECoR,Intercity,11
501,501,SE05,SW02,1702,NR,Intercity,12
502,502,SE08,SW05,347,NCR,Regional,22
503,503,SW03,SW08,542,NER,Intercity,29
504,504,SW06,SR03,1981,NFR,Intercity,18
505,505,SR01,SR06,1106,NWR,Intercity,19
506,506,SR04,WC01,831,SCR,Intercity,26
507,507,SR07,WC04,2204,SECR,Intercity,6
508,508,WC02,WC07,2350,SER,Intercity,30
509,509,WC05,WR02,752,SWR,Intercity,17
510,510,WC08,WR05,1002,SR,Intercity,14
511,511,WR03,WR08,1598,WCR,Intercity,21
512,512,WR06,CR03,319,WR,Regional,28
513,513,CR01,CR06,1419,CR,Intercity,29
514,514,CR04,ER01,1081,ER,Intercity,25
515,515,CR07,ER04,1940,ECR,Intercity,17
516,516,ER02,ER07,843,ECoR,Intercity,8
517,517,ER05,EC02,970,NR,Intercity,9
518,518,ER08,EC05,1366,NCR,Intercity,26
519,519,EC03,EC08,243,NER,Regional,8
520,520,EC06,EC03,465,NFR,Regional,17
521,521,EC01,EC06,2082,NWR,Intercity,15
522,522,EC04,NR01,1832,SCR,Intercity,23
523,523,EC07,NR04,2331,SECR,Intercity,13
524,524,NR02,NR07,1631,SER,Intercity,23
525,525,NR05,NC02,2045,SWR,Intercity,18
526,526,NR08,NC05,1423,SR,Intercity,28
527,527,NC03,NC08,2250,WCR,Intercity,9
528,528,NC06,NE03,141,WR,Regional,24
529,529,NE01,NE06,635,CR,Intercity,23
530,530,NE04,NF01,92,ER,Regional,26
531,531,NE07,NF04,2122,ECR,Intercity,17
532,532,NF02,NF07,1390,ECoR,Intercity,13
533,533,NF05,NW02,1088,NR,Intercity,18
534,534,NF08,NW05,1324,NCR,Intercity,30
535,535,NW03,NW08,1917,NER,Intercity,10
536,536,NW06,SC03,1458,NFR,Intercity,22
537,537,SC01,SC06,352,NWR,Regional,10
538,538,SC04,SE01,1197,SCR,Intercity,25
539,539,SC07,SE04,1772,SECR,Intercity,16
540,540,SE02,SE07,938,SER,Intercity,27
541,541,SE05,SE02,2124,SWR,Intercity,9
542,542,SE08,SE05,739,SR,Intercity,8
543,543,SE03,SE08,233,WCR,Regional,29
544,544,SE06,SW03,1155,WR,Intercity,13
545,545,SW01,SW06,1533,CR,Intercity,7
546,546,SW04,SR01,1515,ER,Intercity,26
547,547,SW07,SR04,2309,ECR,Intercity,15
548,548,SR02,SR07,403,ECoR,Regional,28
549,549,SR05,WC02,510,NR,Intercity,16
550,550,SR08,WC05,1019,NCR,Intercity,24
551,551,WC03,WC08,648,NER,Intercity,20
552,552,WC06,WR03,2101,NFR,Intercity,17
553,553,WR01,WR06,390,NWR,Regional,17
554,554,WR04,CR01,1320,SCR,Intercity,11
555,555,WR07,CR04,1612,SECR,Intercity,24
